"","p_value"
"c9",0.964066371681416
"c920006o11rik",1
"c920021l13rik",1
"caap1",1
"cab39",0.900440349175558
"cab39l",1
"cabin1",1
"cables2",0.983742274542779
"cacfd1",0.919241748942172
"cactin",0.848067374250115
"cacul1",0.997936012485369
"cacybp",1
"cad",0.993537716821299
"cadm1",0.869894163424124
"cadm4",0.957012253063266
"cadps2",1
"calcoco1",1
"cald1",1
"calm1",1
"calm2",1
"calm3",1
"caln1",1
"calr",0.527324055666004
"calu",1
"camk1",0.769025830258303
"camk1d",1
"camk2d",1
"camk2g",1
"camk2n1",1
"camkk2",1
"caml",1
"camsap1",0.995173895742141
"camsap2",0.980675946063506
"camsap3",0.413868932038835
"camta1",0.105843575418994
"camta2",1
"cand1",0.980675946063506
"cant1",0.919022388059701
"canx",0.899826400262037
"cap1",1
"capn1",0.977939299955693
"capn10",1
"capn2",0.964066371681416
"capn7",0.850251133272892
"capn8",1
"capns1",0.690086092715232
"caprin1",1
"capza1",0.997936012485369
"capza2",0.908610767326733
"capzb",0.105843575418994
"car1",0.648342205323194
"car14",1
"car2",0.735118165784832
"car3",0
"car5a",1
"car5b",0.983742274542779
"car8",0.991896915584416
"card10",0.976816857206904
"card19",0.949237218813906
"card6",0.851600356030263
"carf",1
"carhsp1",1
"carkd",1
"carm1",0.884238060781476
"carnmt1",1
"cars",0.966955401860243
"cars2",1
"casc3",0.905831729276622
"casc4",1
"casd1",1
"cask",1
"caskin2",0.921353828954723
"casp2",1
"casp3",0.797588681849551
"casp6",1
"casp7",1
"casp8",0.784345467523198
"casp8ap2",1
"casp9",0.861181818181818
"cast",1
"cat",1
"cbfa2t2",1
"cbfb",1
"cbl",0.985033123689727
"cblb",1
"cblc",1
"cbll1",0.997936012485369
"cbr1",1
"cbr4",1
"cbs",1
"cbwd1",0.979751691032075
"cbx1",1
"cbx3",1
"cbx4",0.994570459081836
"cbx5",0.977939299955693
"cbx8",0.950435956200662
"cby1",0.716366169154229
"cc2d1a",1
"cc2d1b",0.971701471941122
"ccar1",1
"ccar2",0.816548827059465
"ccbl1",0.900440349175558
"ccbl2",0.336319526627219
"ccdc107",0.801561538461539
"ccdc115",1
"ccdc117",0.896006854009596
"ccdc12",1
"ccdc122",1
"ccdc124",1
"ccdc125",0.869894163424124
"ccdc127",1
"ccdc130",0.983524460585345
"ccdc134",0.979250109505037
"ccdc137",0.900440349175558
"ccdc141",0.917894400928344
"ccdc151",0.912785305630834
"ccdc157",0.857100387763895
"ccdc162",0.975631661794468
"ccdc163",0.623736625514403
"ccdc167",1
"ccdc174",1
"ccdc186",1
"ccdc191",0.861181818181818
"ccdc22",0.695641468682505
"ccdc25",1
"ccdc28a",0.981022653721683
"ccdc28b",1
"ccdc30",0.893741241762053
"ccdc32",0.801561538461539
"ccdc34",1
"ccdc43",0.909967980295566
"ccdc47",0.177065420560748
"ccdc50",0.955859939759036
"ccdc51",0.972143671607754
"ccdc53",1
"ccdc58",1
"ccdc59",1
"ccdc6",1
"ccdc71",0.977939299955693
"ccdc71l",0.464155902004454
"ccdc73",0.730062030075188
"ccdc77",1
"ccdc84",0.973779981965735
"ccdc86",1
"ccdc9",0.844389972144847
"ccdc90b",0.824603041426324
"ccdc91",0.614609308885755
"ccdc93",1
"ccdc97",1
"ccl25",1
"ccl27a",0.958633599202393
"ccl9",1
"ccm2",0.968400468933177
"ccm2l",1
"ccnc",0.899826400262037
"ccnd1",1
"ccnd3",0.896006854009596
"ccndbp1",0.769025830258303
"ccnf",1
"ccng1",0.976816857206904
"ccng2",0.861181818181818
"ccnh",1
"ccni",1
"ccnj",1
"ccnk",0.769025830258303
"ccnl1",0.871573152337858
"ccnl2",0.966955401860243
"ccnt1",0.609374269005848
"ccnt2",0.695641468682505
"ccny",1
"ccnyl1",1
"ccp110",0.835717886572952
"ccpg1",1
"ccpg1os",1
"ccs",1
"ccser2",1
"cct2",0.735118165784832
"cct3",0.609374269005848
"cct4",0.637252263906856
"cct5",1
"cct7",0.81100594530321
"cct8",1
"ccz1",1
"cd151",0.934351112302332
"cd164",1
"cd1d1",0.948767165720186
"cd276",1
"cd2ap",1
"cd2bp2",0.898599668325041
"cd302",1
"cd320",0.728692307692308
"cd36",1
"cd3eap",0.942611617608752
"cd4",0.942611617608752
"cd47",1
"cd59a",0.998127138413686
"cd59b",1
"cd5l",0.883134741442098
"cd63",1
"cd81",1
"cd82",0.979099823321555
"cd9",1
"cd99l2",0.735118165784832
"cda",1
"cdadc1",1
"cdc123",1
"cdc14b",0.933704847007853
"cdc16",1
"cdc23",0.754146222583266
"cdc25a",0.728692307692308
"cdc26",0.994570459081836
"cdc27",1
"cdc34",0.602827272727273
"cdc37",0.985033123689727
"cdc37l1",1
"cdc40",0.981022653721683
"cdc42",1
"cdc42bpa",0.954458438287154
"cdc42bpb",0.858971770744226
"cdc42bpg",1
"cdc42ep1",0.858971770744226
"cdc42ep4",0.986729554486509
"cdc42se1",1
"cdc42se2",1
"cdc5l",1
"cdc73",0.934351112302332
"cdca7",1
"cdcp1",0.547176895306859
"cdh1",1
"cdh2",0.988960953555281
"cdhr5",0.885769450392577
"cdip1",0.413868932038835
"cdipt",0.993537716821299
"cdk1",1
"cdk10",0.769025830258303
"cdk11b",1
"cdk12",0.903615287428932
"cdk13",1
"cdk16",0.949237218813906
"cdk17",1
"cdk18",1
"cdk19",0.910976262933658
"cdk2",1
"cdk20",0.973779981965735
"cdk2ap1",1
"cdk2ap2",1
"cdk4",0.797588681849551
"cdk5",0.998127138413686
"cdk5rap3",0.837593464680442
"cdk6",0.820216996258685
"cdk7",0.966955401860243
"cdk8",0.715308163265306
"cdk9",0.979751691032075
"cdkal1",0.690086092715232
"cdkl2",1
"cdkl5",0.896478507164279
"cdkn1a",1
"cdkn1b",0.910753827311696
"cdkn2aip",0.900440349175558
"cdkn2aipnl",0.983742274542779
"cdkn2c",0.919241748942172
"cdkn2d",0.979751691032075
"cdo1",0.885769450392577
"cdpf1",1
"cds2",0.994570459081836
"cdv3",0.648342205323194
"cdyl",0.910753827311696
"ceacam1",1
"cebpa",1
"cebpb",0.711958246346555
"cebpe",0.883134741442098
"cebpg",1
"cebpz",0.861522340846184
"cebpzos",1
"cecr2",1
"cecr5",0.769025830258303
"cela1",0.958633599202393
"celf1",0.917894400928344
"celf2",1
"celsr1",0.799831134564644
"cenpa",1
"cenpb",0.933704847007853
"cenpc1",0.947791083462934
"cenpj",0.981022653721683
"cenpl",0.991896915584416
"cenpv",1
"cenpw",1
"cep104",0.966955401860243
"cep120",0.804702061211743
"cep135",0.816548827059465
"cep162",1
"cep164",1
"cep170",1
"cep170b",0.861181818181818
"cep19",1
"cep250",0.917894400928344
"cep290",1
"cep295",0.829064147190453
"cep350",1
"cep41",1
"cep44",0.869894163424124
"cep57",0.917894400928344
"cep57l1",1
"cep63",0.84421669793621
"cep68",0.910976262933658
"cep76",1
"cep83",0.559170138888889
"cep85",0.896478507164279
"cep89",0.981022653721683
"cep97",1
"cept1",0.711958246346555
"cers2",1
"cers6",0.939594332196274
"ces1b",0.769025830258303
"ces1c",0
"ces1d",0
"ces1e",0.303621794871795
"ces1f",0.559170138888889
"ces1g",0.966955401860243
"ces2a",0
"ces2b",0.532191011235955
"ces2e",0.871573152337858
"ces2g",0.105843575418994
"ces3a",0
"ces3b",0.798927710843373
"ces4a",0
"cetn2",0.997936012485369
"cetn3",0.931095845777899
"cfap20",1
"cfap36",0.366359116022099
"cfap97",1
"cfb",0.271627240143369
"cfdp1",0.858971770744226
"cfh",0.832688395061728
"cfhr1",0.799831134564644
"cfhr2",0.919241748942172
"cfi",0.898599668325041
"cfl1",1
"cfl2",1
"cflar",1
"cggbp1",1
"cgn",1
"cgnl1",1
"cgrrf1",1
"chac2",1
"champ1",0.919022388059701
"chchd1",1
"chchd10",1
"chchd2",1
"chchd3",0.896478507164279
"chchd4",1
"chchd5",1
"chchd6",0.861181818181818
"chchd7",0.973779981965735
"chd1",0.997936012485369
"chd1l",0.413868932038835
"chd2",0.695641468682505
"chd3",0.955859939759036
"chd4",0.769025830258303
"chd6",1
"chd7",1
"chd8",0.93402963362069
"chd9",1
"chdh",0.971701471941122
"cherp",0.735118165784832
"chfr",0.715308163265306
"chic1",0.968400468933177
"chic2",0.998703875968992
"chid1",1
"chka",1
"chkb",0.817078167115903
"chm",1
"chml",0.853274158285964
"chmp1a",1
"chmp2a",1
"chmp2b",1
"chmp3",0.935417667467307
"chmp4b",0.903615287428932
"chmp5",1
"chmp6",0.939594332196274
"chmp7",0.903615287428932
"chn2",1
"chordc1",0.996369315935152
"chp1",1
"chpf2",0.919022388059701
"chpt1",0.711958246346555
"chrac1",1
"chrd",1
"chrna1os",0.919241748942172
"chrna4",1
"chst13",0.801561538461539
"chtf8",0.98193247311828
"chtop",1
"chuk",0.896478507164279
"churc1",1
"ciao1",0.968400468933177
"ciapin1",0.801561538461539
"cib1",1
"cib2",0.801883765003159
"cib3",1
"cic",0
"cideb",1
"cinp",0.972143671607754
"cipc",0.390639175257732
"cir1",1
"cirbp",0.961536338999754
"cirh1a",1
"cisd1",1
"cisd2",1
"cisd3",0.997936012485369
"cish",0.93402963362069
"cited2",0.443700234192037
"ciz1",1
"ckap5",0.995173895742141
"cks1b",0.976816857206904
"cks2",1
"clasp1",0.81100594530321
"clasp2",1
"clasrp",0.816548827059465
"clcc1",0.968400468933177
"clcn2",0.690086092715232
"clcn3",1
"clcn4",0.966955401860243
"clcn5",1
"clcn6",1
"clcn7",0.966955401860243
"cldn1",1
"cldn12",1
"cldn14",1
"cldn2",0.827084263959391
"cldn3",1
"cldnd1",0.824603041426324
"clec11a",1
"clec16a",0.663567632850242
"clec2d",0.871414334994251
"clic1",1
"clic4",0.390639175257732
"clint1",1
"clip1",0.857100387763895
"clk1",0.980675946063506
"clk2",1
"clk3",0.997936012485369
"clk4",1
"clmn",0.797588681849551
"cln3",1
"cln5",0.728692307692308
"cln8",0.993551537070524
"clns1a",1
"clock",0.961130908191042
"clp1",0.67586421173763
"clpb",0
"clpp",1
"clptm1",0.988452712533777
"clptm1l",0.905831729276622
"clpx",1
"clstn3",1
"clta",1
"cltb",1
"cltc",0.177065420560748
"clu",0
"cluap1",1
"cluh",0.988960953555281
"clybl",0.905831729276622
"cmah",0.871573152337858
"cmas",1
"cmbl",1
"cmc1",1
"cmc2",1
"cmc4",1
"cmip",1
"cml1",1
"cml2",0
"cml5",1
"cmpk1",1
"cmpk2",0.896478507164279
"cmtm4",1
"cmtm6",0.980675946063506
"cmtm8",0.976816857206904
"cmtr1",1
"cmtr2",0.887463449254791
"cnbp",1
"cndp2",0.983742274542779
"cnep1r1",0.977939299955693
"cnih1",0.413868932038835
"cnih4",0.994570459081836
"cnksr3",0.57028093645485
"cnn3",1
"cnnm2",0.925342715231788
"cnnm3",0.973779981965735
"cnot1",0.623736625514403
"cnot10",1
"cnot11",0.93402963362069
"cnot2",0.820216996258685
"cnot3",0.858971770744226
"cnot4",0.960721849366145
"cnot6",0.9523248295024
"cnot6l",0.754146222583266
"cnot7",0.464155902004454
"cnot8",0.881209302325581
"cnp",0.957012253063266
"cnppd1",1
"cnpy2",1
"cnpy3",0.857100387763895
"cnst",1
"cntrl",1
"cntrob",0.988960953555281
"coa3",1
"coa4",0.924451344607707
"coa5",0.919241748942172
"coa6",1
"coa7",0.898599668325041
"coasy",0.105843575418994
"cobl",1
"cobll1",1
"cog1",1
"cog2",0.829064147190453
"cog3",1
"cog4",0.871573152337858
"cog6",0.983742274542779
"cog7",0.614609308885755
"cog8",0.988452712533777
"coil",0.801883765003159
"col14a1",0.993121635296499
"col15a1",0.715308163265306
"col18a1",0.871573152337858
"col27a1",0.832688395061728
"col4a1",0.741715744680851
"col4a2",1
"col4a3bp",0.816548827059465
"col4a5",0.983742274542779
"col5a3",0.816168868466399
"colec11",0.905831729276622
"colec12",1
"colgalt1",1
"commd1",1
"commd10",0.884238060781476
"commd2",0.835717886572952
"commd3",1
"commd4",1
"commd5",1
"commd6",1
"commd7",0.827084263959391
"commd8",1
"commd9",1
"comt",1
"comtd1",0.859734453781513
"copa",0.939594332196274
"copb1",0.998127138413686
"copb2",0.413868932038835
"cope",1
"copg1",0.829064147190453
"copg2",1
"coprs",1
"cops2",1
"cops3",1
"cops4",0.998703875968992
"cops5",0.84403981042654
"cops6",0.971701471941122
"cops7a",0.824603041426324
"cops7b",0.971701471941122
"cops8",0.733393548387097
"copz1",0.905831729276622
"copz2",0.871414334994251
"coq10a",0.336319526627219
"coq10b",0.861522340846184
"coq2",0.797588681849551
"coq3",1
"coq4",0.728692307692308
"coq5",1
"coq6",0.936973145440043
"coq7",1
"coq9",1
"coro1b",0.853274158285964
"coro1c",1
"coro7",1
"cox10",1
"cox11",0.889766242937853
"cox14",1
"cox15",1
"cox16",1
"cox17",1
"cox18",0.977939299955693
"cox19",1
"cox20",1
"cox4i1",1
"cox5a",1
"cox5b",1
"cox6a1",1
"cox6b1",1
"cox6c",1
"cox7a1",1
"cox7a2",1
"cox7a2l",0.464155902004454
"cox7b",1
"cox7c",1
"cox8a",1
"cp",1
"cpb2",1
"cpd",0.820216996258685
"cpeb2",0.81100594530321
"cpeb3",1
"cpeb4",0.977939299955693
"cped1",1
"cpn1",0.527324055666004
"cpn2",0.769025830258303
"cpne2",1
"cpne3",1
"cpne8",0.84224569789675
"cpox",0.716366169154229
"cpped1",0.949237218813906
"cpq",1
"cps1",0.614609308885755
"cpsf1",0.663567632850242
"cpsf2",0.683508455467869
"cpsf3",0.949237218813906
"cpsf3l",0.859734453781513
"cpsf4",1
"cpsf6",0.988960953555281
"cpsf7",0.996369315935152
"cpt1a",0.993551537070524
"cpt2",1
"cptp",1
"cr1l",0.825427985648385
"cradd",0.804702061211743
"cramp1l",0.885327102803738
"crat",1
"crb3",0.966955401860243
"crbn",0.871573152337858
"crcp",1
"creb1",0.527324055666004
"creb3",0.993963155786944
"creb3l2",1
"creb3l3",0.739436253252385
"crebbp",0.816168868466399
"crebl2",0.817078167115903
"crebrf",0.390639175257732
"crebzf",0.829064147190453
"creg1",1
"creld1",0.716366169154229
"creld2",0.960721849366145
"crem",0.769025830258303
"crim1",0.67586421173763
"crip2",0.857100387763895
"cript",1
"crk",0.861181818181818
"crlf2",1
"crlf3",1
"crls1",1
"crnkl1",1
"crot",0.588385093167702
"crp",0
"crtap",0.896006854009596
"crtc1",0.873120269763957
"crtc2",0.801883765003159
"crtc3",1
"cry1",1
"cry2",1
"cryab",1
"crybg3",1
"crygn",1
"cryl1",1
"cryz",1
"cryzl1",1
"cs",0
"csad",0.443700234192037
"csde1",1
"cse1l",0.871414334994251
"csf2rb",0.996369315935152
"csgalnact2",0.940616671021688
"csk",0.853274158285964
"csnk1a1",0.945084957131723
"csnk1d",0.858992372881356
"csnk1e",0.993551537070524
"csnk1g1",0.900440349175558
"csnk1g2",0.896478507164279
"csnk1g3",0
"csnk2a1",0.98193247311828
"csnk2a2",1
"csnk2b",1
"cspg5",1
"cspp1",1
"csrnp1",1
"csrnp2",0.931095845777899
"csrp2",1
"csrp2bp",1
"csrp3",1
"cst3",1
"cstb",1
"cstf1",1
"cstf2",1
"cstf2t",0.861522340846184
"cstf3",0.981022653721683
"ctage5",0.903615287428932
"ctbp1",0.896478507164279
"ctbs",0.813085243974133
"ctc1",0.663567632850242
"ctcf",1
"ctdnep1",0.752198511166253
"ctdp1",1
"ctdsp1",0.971701471941122
"ctdsp2",0.588385093167702
"ctdspl",1
"ctdspl2",0.614609308885755
"ctf1",0.711958246346555
"cth",1
"ctif",0.413868932038835
"ctnna1",0.98193247311828
"ctnnal1",1
"ctnnb1",1
"ctnnbip1",1
"ctnnbl1",0.940616671021688
"ctnnd1",0.998703875968992
"ctns",1
"ctps",0.730062030075188
"ctps2",1
"ctr9",1
"ctsa",1
"ctsb",0.912785305630834
"ctsc",1
"ctsd",0.711958246346555
"ctsf",1
"ctsh",0.81100594530321
"ctsl",1
"ctso",0.527324055666004
"ctss",0.637252263906856
"ctsz",0.929738276990185
"cttn",1
"ctu1",0.816548827059465
"ctu2",1
"cuedc2",0.752198511166253
"cul1",1
"cul2",0.735118165784832
"cul3",1
"cul4a",1
"cul4b",0.637252263906856
"cul5",0.627350993377483
"cul9",0.988960953555281
"cuta",1
"cutal",1
"cutc",1
"cux1",1
"cwc15",1
"cwc22",0.884238060781476
"cwc25",0.903615287428932
"cwc27",0.821561078794289
"cwf19l1",0.975631661794468
"cwf19l2",0.993537716821299
"cxadr",1
"cxcl1",1
"cxcl10",1
"cxcl12",1
"cxcl9",0.996369315935152
"cxx1a",1
"cxx1b",0.993537716821299
"cxxc1",0.722281524926686
"cxxc5",0.883134741442098
"cyb561",1
"cyb561d2",0.824603041426324
"cyb5a",1
"cyb5b",0.177065420560748
"cyb5d2",1
"cyb5r1",0.923294346978557
"cyb5r3",1
"cyb5r4",1
"cyb5rl",0.837593464680442
"cyc1",1
"cycs",1
"cyfip1",1
"cyhr1",1
"cyld",1
"cyp1a2",0
"cyp20a1",0.899826400262037
"cyp26a1",1
"cyp27a1",0.177065420560748
"cyp2a12",0.961130908191042
"cyp2a5",0
"cyp2b10",1
"cyp2c29",0
"cyp2c37",0
"cyp2c38",0.105843575418994
"cyp2c40",0.752198511166253
"cyp2c44",0.885327102803738
"cyp2c50",0
"cyp2c54",0
"cyp2c55",0.912785305630834
"cyp2c67",0.769025830258303
"cyp2c68",0.858971770744226
"cyp2c69",0
"cyp2c70",0
"cyp2d10",0
"cyp2d11",1
"cyp2d12",0.105843575418994
"cyp2d22",0.602827272727273
"cyp2d26",0
"cyp2d34",1
"cyp2d40",0.588385093167702
"cyp2d9",0
"cyp2e1",0
"cyp2f2",1
"cyp2j5",0.851600356030263
"cyp2j6",0.233901234567901
"cyp2r1",0.57028093645485
"cyp2u1",0.954458438287154
"cyp39a1",1
"cyp3a11",0
"cyp3a13",0.920949143017701
"cyp3a25",0.336319526627219
"cyp3a41b",0.966955401860243
"cyp3a44",0.983524460585345
"cyp3a59",0.837593464680442
"cyp4a10",0
"cyp4a12a",0
"cyp4a12b",0.233901234567901
"cyp4a14",0.896006854009596
"cyp4a31",0.739436253252385
"cyp4f13",1
"cyp4f14",0.991896915584416
"cyp4f15",0.837593464680442
"cyp4v3",1
"cyp51",0.900440349175558
"cyp7a1",0
"cyp7b1",0.105843575418994
"cyp8b1",0.695641468682505
"cyr61",0.716366169154229
"cys1",1
"cystm1",1
"cyth1",1
"cyth2",1
"d030056l22rik",1
"d10jhu81e",0.991896915584416
"d10wsu102e",0.769025830258303
"d130020l05rik",1
"d15ertd621e",0.98193247311828
"d16ertd472e",0.896478507164279
"d17h6s53e",0.991896915584416
"d17wsu92e",0.84421669793621
"d1ertd622e",1
"d230025d16rik",0.271627240143369
"d2wsu81e",1
"d2hgdh",0.910753827311696
"d3ertd254e",1
"d3ertd751e",1
"d430042o09rik",0.979250109505037
"d5ertd579e",0.968400468933177
"d630039a03rik",0.464155902004454
"d6wsu163e",0.919241748942172
"d730003i15rik",0.948767165720186
"d8ertd738e",1
"d930015e06rik",1
"d930016d06rik",0.770498184458969
"dhrsx",1
"daam1",1
"dab2ip",1
"dact2",1
"dad1",1
"dag1",0.81100594530321
"daglb",0.998127138413686
"dalrd3",0.983742274542779
"dap",0.988452712533777
"dap3",1
"dapk1",1
"dapk2",0.81100594530321
"dars",1
"dars2",0.889766242937853
"daxx",1
"dazap1",1
"dazap2",1
"dbf4",1
"dbi",1
"dbnl",1
"dbp",0.861181818181818
"dbr1",1
"dbt",1
"dcaf10",0.5759584
"dcaf11",1
"dcaf12",1
"dcaf12l1",0.889766242937853
"dcaf13",0.769025830258303
"dcaf17",0.905831729276622
"dcaf5",0.844389972144847
"dcaf6",0.829064147190453
"dcaf7",0.758446757405925
"dcaf8",0.853274158285964
"dcakd",1
"dcbld1",1
"dck",0.983524460585345
"dclk3",0.861181818181818
"dclre1a",1
"dclre1c",0.827084263959391
"dcn",1
"dcp1a",1
"dcp2",1
"dcps",1
"dct",0.881209302325581
"dctn1",1
"dctn2",1
"dctn3",1
"dctn4",0.966955401860243
"dctn5",1
"dctn6",1
"dctpp1",1
"dcun1d1",0.949237218813906
"dcun1d2",0.972143671607754
"dcun1d3",0.998127138413686
"dcun1d4",0.931095845777899
"dcun1d5",0.949237218813906
"dcxr",1
"dda1",1
"ddah1",0.769025830258303
"ddb1",0.917894400928344
"ddb2",1
"ddc",1
"ddhd1",0.801883765003159
"ddhd2",1
"ddi2",0.966955401860243
"ddit3",0
"ddit4",1
"ddo",1
"ddost",0.919241748942172
"ddrgk1",1
"ddt",1
"ddx1",0.602827272727273
"ddx10",0.971701471941122
"ddx11",0.983742274542779
"ddx17",0.936973145440043
"ddx18",1
"ddx19a",0.961130908191042
"ddx19b",0.602827272727273
"ddx20",1
"ddx21",0.871573152337858
"ddx24",1
"ddx27",1
"ddx28",0.703191940615058
"ddx31",0.816548827059465
"ddx39",0.801561538461539
"ddx39b",0.829064147190453
"ddx3x",0.968400468933177
"ddx3y",1
"ddx41",1
"ddx42",0.972143671607754
"ddx46",1
"ddx47",0.919241748942172
"ddx49",1
"ddx5",1
"ddx50",1
"ddx51",1
"ddx52",1
"ddx54",1
"ddx55",1
"ddx56",0.816548827059465
"ddx58",0.861522340846184
"ddx6",0.861181818181818
"ddx60",0.910976262933658
"deaf1",1
"deb1",1
"decr1",0.733393548387097
"decr2",1
"dedd",0.532191011235955
"dedd2",1
"def8",0.958633599202393
"defb1",0.769025830258303
"degs1",1
"dek",0.798927710843373
"dennd1a",0.994570459081836
"dennd1b",1
"dennd4a",1
"dennd4c",1
"dennd5a",0.805964241676942
"dennd5b",0.851505617977528
"dennd6a",1
"denr",1
"depdc5",0.986729554486509
"depdc7",0.829064147190453
"deptor",0.816548827059465
"dera",0.919241748942172
"derl1",1
"derl2",0.733393548387097
"derl3",0.905831729276622
"desi1",0.739436253252385
"desi2",1
"det1",0.898599668325041
"dexi",0.910753827311696
"dffa",0.861522340846184
"dfna5",0.857100387763895
"dgat1",0.532191011235955
"dgat2",0.627350993377483
"dgcr14",0.816548827059465
"dgcr2",1
"dgcr6",0.735118165784832
"dgcr8",0.816548827059465
"dgkd",0.769025830258303
"dgkq",0.820216996258685
"dgkz",0.928623767798467
"dguok",1
"dhcr24",0.918328909405655
"dhcr7",0.921353828954723
"dhdds",1
"dhdh",1
"dhfr",0.898599668325041
"dhodh",1
"dhps",0.798927710843373
"dhrs1",1
"dhrs11",0.443700234192037
"dhrs13",0.968400468933177
"dhrs3",1
"dhrs4",1
"dhrs7",0.900440349175558
"dhrs7b",1
"dhrs9",1
"dhtkd1",0.797588681849551
"dhx15",0.754146222583266
"dhx16",1
"dhx29",0.832688395061728
"dhx30",0.997936012485369
"dhx32",0.829064147190453
"dhx33",1
"dhx34",1
"dhx35",0.896478507164279
"dhx36",1
"dhx37",0.627350993377483
"dhx38",1
"dhx40",0.991896915584416
"dhx57",0.366359116022099
"dhx58",1
"dhx8",0.825020217729394
"dhx9",0.896478507164279
"diablo",1
"diaph1",0.971701471941122
"diaph2",0.735118165784832
"dicer1",1
"dido1",0.939594332196274
"diexf",0.86047068538398
"dimt1",0.910976262933658
"dio1",1
"dip2a",1
"dip2b",1
"dip2c",1
"dirc2",0.390639175257732
"dis3l",1
"dis3l2",0.105843575418994
"dixdc1",1
"dkc1",1
"dlat",0.931095845777899
"dlc1",0.271627240143369
"dld",0.919241748942172
"dlec1",0.853274158285964
"dlg1",0.899826400262037
"dlg3",0.896478507164279
"dlgap4",0.834217221135029
"dlst",0.973779981965735
"dmap1",1
"dmd",1
"dmgdh",0.484759061833689
"dmtf1",1
"dmwd",0.979175280404662
"dmxl1",1
"dmxl2",0.917894400928344
"dna2",1
"dnaaf2",1
"dnaaf5",1
"dnaja1",1
"dnaja2",0.57028093645485
"dnaja3",0.905831729276622
"dnaja4",1
"dnajb1",0.816548827059465
"dnajb11",0.929738276990185
"dnajb12",1
"dnajb14",1
"dnajb2",1
"dnajb4",1
"dnajb6",1
"dnajb9",0.93402963362069
"dnajc1",1
"dnajc10",0.816168868466399
"dnajc11",1
"dnajc12",1
"dnajc13",1
"dnajc14",1
"dnajc15",0.977939299955693
"dnajc16",0.824603041426324
"dnajc17",0.929738276990185
"dnajc18",1
"dnajc19",1
"dnajc2",1
"dnajc21",0.896006854009596
"dnajc22",1
"dnajc24",0.961536338999754
"dnajc25",0.797588681849551
"dnajc28",1
"dnajc3",1
"dnajc30",1
"dnajc4",1
"dnajc5",1
"dnajc7",0.663567632850242
"dnajc8",0.835717886572952
"dnajc9",1
"dnal4",0.899826400262037
"dnase1l1",1
"dnase1l3",1
"dnase2a",1
"dnase2b",0.816548827059465
"dnlz",1
"dnm1l",1
"dnm2",0.853274158285964
"dnmt1",0.648342205323194
"dnmt3a",0.873120269763957
"dnmt3b",0.910753827311696
"dnpep",1
"dnph1",1
"dntt",1
"dnttip1",1
"dnttip2",1
"dock1",1
"dock4",1
"dock5",1
"dock6",0.81100594530321
"dock7",0.905831729276622
"dock8",0.484759061833689
"dock9",0.715308163265306
"dohh",0.861522340846184
"dolk",0.899826400262037
"dolpp1",1
"dopey1",0.848974851394604
"dopey2",0.105843575418994
"dot1l",0.609374269005848
"dpagt1",1
"dpcd",0.939594332196274
"dpf2",1
"dph2",0.893367097450227
"dph3",0.938765765765766
"dph5",1
"dph6",0.979751691032075
"dph7",1
"dpm1",1
"dpm2",0.850251133272892
"dpm3",1
"dpp3",0.857100387763895
"dpp4",0.758446757405925
"dpp7",0.893367097450227
"dpp8",0.949237218813906
"dpp9",0.829064147190453
"dpy19l1",0.84403981042654
"dpy19l3",1
"dpy19l4",0.910753827311696
"dpy30",1
"dpyd",0.824603041426324
"dpys",0.730062030075188
"dr1",0.861522340846184
"dram2",0.990818293683347
"drap1",0.837593464680442
"drg1",0.917894400928344
"drg2",0.916561651917404
"drosha",1
"dsc2",0.390639175257732
"dscr3",0.748916736753574
"dsg1c",1
"dsg2",0.784345467523198
"dsp",1
"dst",1
"dstn",0.966955401860243
"dstyk",0.885327102803738
"dtd1",1
"dtd2",0.848974851394604
"dtnb",1
"dtnbp1",1
"dtwd1",0.920949143017701
"dtwd2",0.988418196994992
"dtx2",0.883134741442098
"dtx3l",0.871573152337858
"dtx4",1
"dtymk",1
"dus1l",0.993537716821299
"dus2",1
"dus3l",1
"dus4l",0.968400468933177
"dusp1",1
"dusp10",1
"dusp11",1
"dusp12",0.917894400928344
"dusp16",1
"dusp19",1
"dusp22",0.912785305630834
"dusp23",0.977939299955693
"dusp28",0.896478507164279
"dusp3",1
"dusp6",1
"dut",0.861181818181818
"dvl1",0.67586421173763
"dvl2",1
"dxo",0.532191011235955
"dym",0.86047068538398
"dync1h1",0.892673699015471
"dync1i2",1
"dync1li1",1
"dync1li2",0.973779981965735
"dync2h1",0.977939299955693
"dynll1",1
"dynll2",0.997936012485369
"dynlrb1",1
"dynlt3",1
"dyrk1a",1
"dyrk1b",0.716366169154229
"dyrk2",0
"e030030i06rik",0.816548827059465
"e130102h24rik",0.857100387763895
"e130308a19rik",1
"e130309d02rik",0.981022653721683
"e130311k13rik",1
"e2f1",0.914556615017878
"e2f2",0.985033123689727
"e2f3",1
"e2f4",1
"e2f5",0.947791083462934
"e2f6",0.934351112302332
"e2f8",0.979175280404662
"e330009j07rik",0.177065420560748
"e430018j23rik",1
"e430025e21rik",1
"e4f1",0.968400468933177
"eaf1",0.871573152337858
"eapp",1
"ears2",1
"ebag9",1
"ebna1bp2",1
"ebp",1
"ebpl",1
"ecd",0.869894163424124
"ece1",0.896478507164279
"ece2",1
"ech1",1
"echdc1",0.882987889908257
"echdc2",1
"echdc3",1
"echs1",1
"eci1",1
"eci2",0.929738276990185
